geometry,cell_id,num_species,num_points,bio1_mean,bio3_mean,bio4_mean,bio7_mean,bio12_mean,bio15_mean,elevation_mean,index_right,Id,AH,NOMAH,ZH,NOMZH,SZH,NOMSZH,Area_Ha,sp_density,num_species_std,w_num_species_std,num_points_std,w_num_points_std,sp_density_std,w_sp_density_std
"POLYGON ((4903514.705510766 2766315.0546476496, 4903512.0127679305 2765393.90478621, 4904422.343242081 2765391.2572229546, 4904425.010572076 2766312.405163423, 4903514.705510766 2766315.0546476496))",22680,1,1,0.8695833206176757,75.69444274902344,6.517313385009766,1.079999923706055,1554.0,72.08806610107422,3247.0,306,POMCA_206,2,Magdalena Cauca,29,Bajo Magdalena,2906,Cga Grande de Santa Marta,143250.0,1.1925414032920408e-06,-0.4834711282198113,0.3442210356348023,-0.14960513730649305,-0.09587995276971341,-0.454750160919067,0.38138284758563495
"POLYGON ((4903512.0127679305 2765393.90478621, 4903509.322054766 2764472.7554136617, 4904419.677922603 2764470.1097716005, 4904422.343242081 2765391.2572229546, 4903512.0127679305 2765393.90478621))",22938,2,5,0.7629166603088379,75.93457794189453,6.541678619384766,1.0699999809265135,1564.0,72.35238647460938,3723.6,306,POMCA_206,2,Magdalena Cauca,29,Bajo Magdalena,2906,Cga Grande de Santa Marta,143250.0,2.3850175470052697e-06,0.8499115468308588,-0.4834711282198112,-0.07753126472837145,-0.1407989519327063,0.892335618841776,-0.4548366353734542
"POLYGON ((4900772.71540231 2762638.5338343345, 4900769.954768161 2761717.3800514024, 4901680.392482031 2761714.6650769035, 4901683.127779127 2762635.8168833037, 4900772.71540231 2762638.5338343345))",23694,1,5,0.6712500095367432,76.37614440917969,6.245452880859375,1.0899999618530274,1535.0,68.91786193847656,3674.8,306,POMCA_206,2,Magdalena Cauca,29,Bajo Magdalena,2906,Cga Grande de Santa Marta,143250.0,1.1923953248814627e-06,-0.4834711282198113,-0.3834617443848995,-0.07753126472837145,-0.14419928966649728,-0.4549151790208188,-0.35387177601696784
"POLYGON ((4901683.127779127 2762635.8168833037, 4901680.392482031 2761714.6650769035, 4902590.828251252 2761711.9751351313, 4902593.538211575 2762633.124983223, 4901683.127779127 2762635.8168833037))",23695,1,1,0.5808333396911621,77.1028060913086,6.097068023681641,1.0699999809265135,1522.0,68.94124603271484,3885.0,306,POMCA_206,2,Magdalena Cauca,29,Bajo Magdalena,2906,Cga Grande de Santa Marta,143250.0,1.1924006131278628e-06,-0.4834711282198113,-0.3684052886757482,-0.14960513730649305,-0.12077706914254938,-0.45490920513063826,-0.3386587472110899
"POLYGON ((4900769.954768161 2761717.3800514024, 4900767.196221369 2760796.2267552605, 4901677.659253135 2760793.513757522, 4901680.392482031 2761714.6650769035, 4900769.954768161 2761717.3800514024))",23954,1,1,0.7770833492279052,76.8348617553711,6.136545944213867,1.0899999618530274,1550.0,67.98538208007812,3454.0,306,POMCA_206,2,Magdalena Cauca,29,Bajo Magdalena,2906,Cga Grande de Santa Marta,143250.0,1.1923628003776496e-06,-0.4834711282198113,-0.3918794459571876,-0.14960513730649305,-0.12000378905197684,-0.4549519204657621,-0.362380071999027
"POLYGON ((4901680.392482031 2761714.6650769035, 4901677.659253135 2760793.513757522, 4902588.120339972 2760790.8257742855, 4902590.828251252 2761711.9751351313, 4901680.392482031 2761714.6650769035))",23955,1,1,0.6862500190734864,76.92901611328125,6.216272735595704,1.0800000190734864,1544.0,69.23741149902344,3853.0,306,POMCA_206,2,Magdalena Cauca,29,Bajo Magdalena,2906,Cga Grande de Santa Marta,143250.0,1.1923680887777258e-06,-0.4834711282198113,-0.3880870786567079,-0.14960513730649305,-0.12808818228086938,-0.45494594640198066,-0.35853922971960683
"POLYGON ((4929893.358646264 2757037.425354502, 4929891.417518773 2756116.328735603, 4930801.953511274 2756114.4230485503, 4930803.86942431 2757035.518273019, 4929893.358646264 2757037.425354502))",25297,1,1,0.4158333301544189,75.13661193847656,7.962506103515625,1.2199999809265136,1778.0,69.0569839477539,4212.0,304,POMCA_033,1,Caribe,15,Caribe - Guajira,1503,Río Ancho y Otros Directos al caribe,78064.0,1.1923455423314002e-06,-0.4834711282198113,0.0,-0.14960513730649305,0.0,-0.4549714160915753,0.0
"POLYGON ((4946280.870554951 2756085.838340357, 4946279.384389594 2755164.764525411, 4947189.923680479 2755163.308362206, 4947191.3846536735 2756084.381110741, 4946280.870554951 2756085.838340357))",25571,1,1,0.8995833396911621,77.16802215576172,6.972212219238282,1.2300000190734863,1605.0,68.17340087890625,3173.0,309,POMCA_186,2,Magdalena Cauca,28,Cesar,2801,Alto Cesar,86959.0,1.1923726912683779e-06,-0.4834711282198113,0.0,-0.14960513730649305,0.0,-0.4549407471787161,0.0
"POLYGON ((4938075.935785985 2750573.576479079, 4938074.23069829 2749652.4951920966, 4938984.93096714 2749650.822357182, 4938986.610976139 2750571.9024128206, 4938075.935785985 2750573.576479079))",27180,1,1,0.6849999904632569,77.77777862548828,6.911782836914062,1.170000076293945,2069.0,71.78107452392578,3599.0,309,POMCA_186,2,Magdalena Cauca,28,Cesar,2801,Alto Cesar,86959.0,1.1921513083362805e-06,-0.4834711282198113,-0.4834711282198113,-0.14960513730649305,-0.14960513730649305,-0.45519083335551913,-0.45521622358727637
"POLYGON ((4940806.327897329 2749647.551046724, 4940804.6992902355 2748726.473889205, 4941715.421046683 2748724.8765900703, 4941717.024594747 2749645.9525708444, 4940806.327897329 2749647.551046724))",27461,1,1,0.8037500381469727,77.10084533691406,6.99065933227539,1.1899999618530273,1778.0,67.55384063720703,3328.0,309,POMCA_186,2,Magdalena Cauca,28,Cesar,2801,Alto Cesar,86959.0,1.192128832228145e-06,-0.4834711282198113,-0.4834711282198113,-0.14960513730649305,-0.14960513730649305,-0.45521622358727637,-0.45519083335551913
"POLYGON ((4926222.8548385035 2744149.9142013164, 4926220.8345726775 2743228.818653102, 4927131.727225637 2743226.833861427, 4927133.722544419 2744147.927939932, 4926222.8548385035 2744149.9142013164))",29086,2,4,0.7166666507720947,78.26667022705078,6.439696502685547,1.25,1818.0,75.8270034790039,3760.0,307,POMCA_207,2,Magdalena Cauca,29,Bajo Magdalena,2906,Cga Grande de Santa Marta,155413.0,2.383758986441235e-06,0.8499115468308588,-0.4834711282198113,-0.09554973287290185,-0.14960513730649305,0.890913880513746,-0.45549346247657035
"POLYGON ((4927133.722544419 2744147.927939932, 4927131.727225637 2743226.833861427, 4928042.6184341125 2743224.8737309105, 4928044.588806053 2744145.966357968, 4927133.722544419 2744147.927939932))",29087,1,1,0.7674999713897706,78.30687713623047,6.5,1.259999942779541,1742.0,75.60733032226562,3732.0,307,POMCA_207,2,Magdalena Cauca,29,Bajo Magdalena,2906,Cga Grande de Santa Marta,155413.0,1.191883412993112e-06,-0.4834711282198113,0.8499115468308588,-0.14960513730649305,-0.09554973287290185,-0.45549346247657035,0.890913880513746
"POLYGON ((4928028.868211131 2736777.238916599, 4928026.909948403 2735856.150163818, 4928937.998613688 2735854.2261656187, 4928939.932083087 2736775.313483911, 4928028.868211131 2736777.238916599))",31404,1,1,0.8225000381469727,76.05819702148438,7.356197357177734,1.2600000381469727,1972.0,64.95668029785156,3715.0,307,POMCA_207,2,Magdalena Cauca,29,Bajo Magdalena,2906,Cga Grande de Santa Marta,155413.0,1.1916320796558989e-06,-0.4834711282198113,0.0,-0.14960513730649305,0.0,-0.45577738225670567,0.0
"POLYGON ((5009115.980507922 2714597.2808697787, 5009116.223763361 2713676.2598591335, 5010027.8468379 2713676.5125715598, 5010027.579256821 2714597.5337745766, 5009115.980507922 2714597.2808697787))",38527,1,1,1.2675000190734864,75.07508087158203,7.334536743164063,1.109999942779541,1203.0,60.92841720581055,2801.0,95,POMCA_188,2,Magdalena Cauca,28,Cesar,2801,Alto Cesar,155574.0,1.1910249758177635e-06,-0.4834711282198113,-0.4834711282198113,-0.14960513730649305,-0.11356820101743226,-0.4564631997059703,-0.4564644740162841
"POLYGON ((5010939.178205182 2714597.81076565, 5010939.470111927 2713676.78935194, 5011851.093603576 2713677.090200304, 5011850.777371133 2714598.1118430276, 5010939.178205182 2714597.81076565))",38529,1,3,1.1350000381469727,74.8484878540039,7.403929138183595,1.1,1342.0,67.38866424560547,3225.0,95,POMCA_188,2,Magdalena Cauca,28,Cesar,2801,Alto Cesar,155574.0,1.191023847764397e-06,-0.4834711282198113,-0.4834711282198113,-0.11356820101743226,-0.14960513730649305,-0.4564644740162841,-0.4564631997059703
"POLYGON ((5008206.780677403 2704465.8492021086, 5008206.997708932 2703544.8336281423, 5009118.886918407 2703545.0603568153, 5009118.645772186 2704466.0761050433, 5008206.780677403 2704465.8492021086))",41648,1,11,1.2295833587646483,75.0730972290039,7.126961517333984,1.140000057220459,1286.0,62.73954772949219,2817.818181818182,314,POMCA_191,2,Magdalena Cauca,28,Cesar,2802,Medio Cesar,51968.0,1.190684290808526e-06,-0.4834711282198113,-0.4834711282198113,0.030579544138810952,-0.13024699906647205,-0.45684805598484934,-0.45694301607218524
"POLYGON ((5009119.127872852 2702624.0450847917, 5009119.368635517 2701703.030288606, 5010031.306198516 2701703.280498268, 5010031.04135949 2702624.2954871007, 5009119.127872852 2702624.0450847917))",42216,1,1,1.0204166412353517,74.33036041259766,7.426788330078125,1.1199999809265138,1240.0,63.47800064086914,3139.0,314,POMCA_191,2,Magdalena Cauca,28,Cesar,2802,Medio Cesar,51968.0,1.190622109018659e-06,-0.4834711282198113,-0.4834711282198113,-0.14960513730649305,-0.03248479277967204,-0.45691829990992205,-0.45691768615366607
"POLYGON ((5008207.647767909 2700781.789762118, 5008207.864109018 2699860.7760908473, 5009119.849585484 2699861.002122283, 5009119.609206395 2700782.0159678916, 5008207.647767909 2700781.789762118))",42790,1,4,1.1158333778381349,74.48377990722656,7.467607116699218,1.1299999237060547,1263.0,66.0143814086914,3070.0,314,POMCA_191,2,Magdalena Cauca,28,Cesar,2802,Medio Cesar,51968.0,1.190561013265963e-06,-0.4834711282198113,-0.4834711282198113,-0.09554973287290185,-0.08507761369282298,-0.45698731698845596,-0.4568931442390987
"POLYGON ((5005472.484346634 2696176.1924644285, 5005472.627998515 2695255.1815764103, 5006384.732940736 2695255.3356327564, 5006384.565346837 2696176.3466401235, 5005472.484346634 2696176.1924644285))",44188,1,2,1.191249942779541,74.42029571533203,7.492798614501953,1.1499999046325684,1088.0,64.17987823486328,3016.0,314,POMCA_191,2,Magdalena Cauca,28,Cesar,2802,Medio Cesar,51968.0,1.1904086832727517e-06,-0.4834711282198113,-0.05710702240944582,-0.13158666916196265,-0.11742226663185712,-0.45715939721728727,-0.027246465488427712
